Código,Descripción,Descripción 2
MTP,MANGO TELESCOPICO O EXTENSIBLE,PARA LIMPIEZA DE PISCINA
MUL,MULTIMETRO," "
MVP,MONITOR PARA VIDEO PORTERO O,INTERCOMUNICADOR CON VIDEO
MWA,LUMINARIA O LAMPARA HIGH BAY,INDUSTRIAL LED
MWB,"LUMINARIA, LAMPARA,STREETLIGHT",PARA ALUMBRADO PUBLICO
MWC,"LUMINARIA, LAMPARA, STREETLIGH",ALUMBRADO PUBLICO PANEL SOLAR
MXA,LUMINARIA LED SPOT DIRIGIBLE,PARA RIEL MAGNETICO
MXB,LUMINARIA LED SPOT FIJA O,COLGANTE PARA RIEL MAGNETICO
MXC,LUMINARIA LED LINEAL PARA RIEL,O TRACK DE ILUMINACION
MXL,LUMINARIA LED LINEAL COLGANTE,O SOBREPUESTA
MYA,LUMINARIA LINEAL CON TUBOS,FLUORESCENTES O TUBOS LED
MYB,LUMINARIA LINEAL SELLADA DAMP-,PROOF CON TUBOS LED
MYC,REPUESTO O CARCASA SELLADA,O DAMP-PROOF SIN FOCOS
MZA,LUMINARIA LED SPOT DIRIGIBLE,PARA RIEL NO MAGNETICO
MZB,LUMINARIA LED SPOT COLGANTE,PARA RIEL NO MAGNETICO
MZC,MORDAZA PARA RISER," "
MZD,MORDAZA PARA VIGA STRUT," "
NAV,NAVAJA O CUCHILLO MULTIUSO," "
NDA,NUDO O UNION UNIVERSAL,POLIPROPILENO
NDB,NUDO O UNION UNIVERSAL,COBRE
NDC,NUDO O UNION UNIVERSAL PVC,PRESION
NDD,NUDO O UNION UNIVERSAL ACERO,INOX/HIERRO GALV PARA PRESION
NDT,NUDO O UNION UNIVERSAL PPR,TERMOFUSION
NEA,ADAPTADOR O CONECTOR DESDE,FLEX A ROSCABLE (NEPLO FLEX)
NIV,NIVEL," "
NLA,NIVEL LASER ELECTRONICO," "
NMI,NEPLO PARA RACK DE MANGUERA,CONTRA INCENDIO
NPA,NEPLO POLIPROPILENO PRESION," "
NPB,NEPLO DE BRONCE O LATON PARA,PRESION
NPC,NEPLO METALICO PARA PRESION," "
NPD,NEPLO ELECTRICO IMC/RMC," "
NPE,NEPLO PVC PRESION," "
NPF,NEPLO POLIETILENO FLEX," "
NUD,ARANDELA DE REPUESTO PARA NUDO,O UNION UNIVERSAL DE PVC
OBC,CARCASA PARA DICROICO U OJO DE,BUEY SIN FOCO
OBD,OJO DE BUEY LED DIRIGIBLE," "
OBL,OJO DE BUEY O PLAFON LED," "
OBM,OJO DE BUEY PARA TECHO PARA,FOCOS REEMPLAZABLES
OBN,OJO DE BUEY SMART," "
OBP,OJO DE BUEY O LUMINARIA LED,PARA PISO
OBQ,OJO DE BUEY O LUMINARIA PARA,PISO PARA FOCOS REEMPLAZABLES
OBS,OJO DE BUEY O LUMINARIA PARA,PISCINA O PILETA
ODE,ORGANIZADOR DE ESCRITORIO," "
OLA,OLLA ARROCERA," "
OLL,OLLA," "
OLM,OLLA DE PRESION MULTIFUNCION," "
OLP,OLLA DE PRESION," "
ORJ,OREJERA O PROTECTOR AUDITIVO," "
OVR,OVERLOAD O TERMICO DE MOTOR O,PROTECTOR DE SOBRECARGA
PAC,PERFIL DE ALUMINIO CON DIFUSOR,PARA ESCALERA PARA CINTA
PAD,ADHESIVO BASE EPOXICA PARA,PEGAR SUPERFICIOES DE CONCRETO
PAE,PERFIL DE ALUMINIO CON DIFUSOR,EMPOTRADO TIPO U PARA CINTA
PAG,PERFIL DE ALUMINIO CON DIFUSOR,EMPOTRADO EN GYPSUM PARA CINTA
PAI,PARLANTE INALAMBRICO," "
PAL,PANEL O PLANCHA DE ALUMINIO,COMPUESTO (ACM)
PAQ,PERFIL DE ALUMINIO CON DIFUSOR,ESQUINERO SOBREPUESTO CINTA
PAR,PARAGUAS," "
PAS,PERFIL DE ALUMINIO CON DIFUSOR,SOBREPUESTO TIPO U PARA CINTA
PAT,PERFIL DE ALUMINIO CON DIFUSOR,PARA COLGAR EN CLOSET
PAX,PARLANTE CONTROLADOR POR VOZ,SMART
PBA,PANEL DE BREAKERS O CENTRO DE,CARGA DE RIEL DIN EMPOTRABLE
PBB,PANEL DE BREAKERS O CENTRO DE,CARGA ENCHUFABLE EMPOTRABLE
PBC,PANEL DE BREAKERS O CENTRO DE,CARGA DE RIEL DIN SOBREPUESTO
PBD,PANEL DE BREAKERS O CENTRO DE,CARGA ENCHUFABLE SOBREPUESTO
PBP,PULSADOR O BOTON EMPOTRABLE,PARA PISO O PARED DE PISCINA
PCA,PLACA EMT CON ORIFICIOS PARA,INTERRUPTOR
PCB,PLACA EMT CON ORIFICIOS PARA,TOMACORRIENTE
PCC,PLACA DE ACABADO PARA ACABADOS,ELECTRICOS ARMABLES
PCE,PORTA CEPILLO," "
PCF,SATELITE O PORTA PASTILLAS DE,CLORO FLOTANTE
PCG,PLACA CIEGA PARA CAJA METALICA,ELECTRICA EMT
PCI,PELACABLE INALAMBRICO," "
PCM,MINI PC O NUC," "
PCP,PLACA PARA CAJA DE PISO," "
PCR,PRUEBA RAPIDA DE COVID," "
PCS,PISTOLA DE CALOR PARA SILICON," "
PCX,PLACA EMT CON ORIFICIOS PARA,INTERRUPTOR Y TOMACORRIENTE
PDA,PISTOLA DE AIRE," "
PDC,PISTOLA DE CALOR," "
PDE,PALO O MANGO DE ESCOBA," "
PDI,PISTOLA DE CALOR INALAMBRICA," "
PDP,PLANCHA DE PVC DECORATIVA PARA,PAREDES Y TUMBADO
PDR,PREDESMANCHADOR DE ROPA Y TELA," "
PED,PEDESTAL PARA LAVABO," "
PEL,PINZA PARA ELECTRODOS DE,SOLDAR
PEN,PENDRIVE O MEMORIA EXTERNA," "
PEP,PINZA MORDAZA PARA ELEVACION Y,MOVILIZACION DE PLANCHAS
PER,PERFIL METALICO RANURADO," "
PES,PRENSA ESTOPA ELECTRICA," "
PFA,PROTECTOR FACIAL ACRILICO," "
PFE,PERFIL ESQUINERO METAL O PVC,PARA GYPSUM O FIBROCEMENTO
PFH,PERFIL H DE METAL O PVC PARA,TUMBADO FALSO
PFT,PERFIL T DE METAL O PVC PARA,TUMBADO FALSO
PFU,PERFIL U DE METAL O PVC PARA,TUMBADO FALSO
PGA,ANGULO METALICO O PVC LIVIANO,PARA TUMBADO FALSO
PGC,CANAL O TRACK GALVANIZADA O DE,GAVALUME PARA GYPSUM
PGH,PLANCHA DE GYPSUM RESISTENTE,A LA HUMEDAD
PGO,OMEGA O FURRING GALVANIZADO,O GAVALUME PARA GYPSUM
PGR,MASILLA O PASTA PARA SELLAR,JUNTAS DE GYPSUM
PGS,PLANCHA DE GYPSUM STANDARD," "
PGT,CORREA O STUD PARA GALVANIZADO,O GAVALUME PARA GYPSUM
PGV,TUBO GALVANIZADO PARA POSTE," "
PIA,PIEDRA PARA AFILAR," "
PIC,PICADOR O CHOPPER MANUAL PARA,COCINA
PIE,PINTURA ESMALTE," "
PII,PITON PARA MANGUERA CONTRA,INCENDIOS
PIL,PINTURA LATEX,PARA INTERIOR
PIM,PITON PARA MANGUERA DE JARDIN," "
PIN,PINTURA LATEX,PARA EXTERIOR
PIP,PICAPORTE O ALDABA PARA PUERTA,O VENTANA
PIZ,PRENSA DE PINZA DE RESORTE," "
PLA,PULSADOR O BOTONERA PARA CAJA,DE CONTROL INDUSTRIAL
PLC,PALA CUADRADA," "
PLE,PANEL LED EMPOTRADO," "
PLG,PANEL LED COLGANTE," "
PLI,PLACA PARA INTERPERIE EMT," "
PLJ,PALA DE JARDINERO," "
PLL,PALA PARA LIMPIEZA," "
PLO,PLOMADA," "
PLP,PALA PUNTONA," "
PLS,PANEL LED SOBREPUESTO," "
PLT,PLATINAS METALICAS," "
PLU,PLUMA O BOLIGRAFO," "
PLZ,PANEL LED SMART," "
PMA,PORTA MASCARILLA," "
PMG,PAPEL MAGNETICO," "
PMI,PORTA MANGUERA PARA SISTEMAS,CONTRA INCENDIOS
PNA,PERNO AUTOPERFORANTE O PUNTA,BROCA
PND,PERNO CON CABEZA DE COCO/PAN," "
PNE,PERNO DE EXPANSION," "
PNH,PERNO CON CABEZA HEXAGONAL," "
PNI,PERNOS PARA REPARACION E,INSTALACION DE INODORO
PNL,PERNO ALLEN," "
PNM,PUNTA MONTADA PARA DESBASTE," "
PNR,PERNO ESPARRAGO SIN CABEZA," "
PNS,PERNO CON CABEZA PARA SOLDAR," "
PNT,PERNO TIRAFONDO," "
PNU,PERNO GRAPA EN U," "
POD,PODADORA DE CESPED ELECTRICA,O A COMBUSTION
POM,PODADORA MANUAL," "
PON,PONCHADORA," "
PPA,PORTA ROLLO DE PAPEL HIGIENICO," "
PPB,PLATINERA PARA BOMBAS DE AGUA," "
PPC,PLASTICO PARA PROTECCION DE,SUPERFICIES
PPD,PUNTAS PARA DESTORNILLADOR O,TALADRO
PPE,PUNTAL PARA ENCOFRADOS," "
PPI,PERFIL PARA IMPERMEABILIZACION,DE SUPERFICIES
PPK,PROTECTOR DE PICOS," "
PPL,"PASTA, CERA, O MASA PARA PULIR",SUPERFICIES Y VEHICULOS
PPM,PINZA PARA MASA DE SOLDAR," "
PPO,PANEL O PLANCHA POLICARBONATO," "
PPP,PISTOLA O PULVERIZADOR PINTURA,EN SPRAY PNEUMATICA
PPR,PARASOL PARA PARABRISA," "
PPS,OTROS PROTECTORES PARA SOLDAR," "
PPT,PISTOLA O SOPLETE PARA PINTURA,EN SPRAY ELECTRICA
PPU,PERNO PARTIDO CON TUERCA," "
PPX,PISTOLA O SOPLETE PARA PINTURA,EN SPRAY INALAMBRICA
PPY,PISTOLA O PULVERIZADOR PINTURA,EN SPRAY ELECTRICO
PQA,POLEA FIJA," "
PQB,POLEA MOVIL," "
PQC,POLEA COMPUESTA," "
PQD,POLEA POLIPASTO," "
PQE,POLEA CONICA," "
PRA,PRENSA C," "
PRB,PRENSA DE BARRA," "
PRC,PRENSA DE ESQUINA," "
PRE,PRESURIZADOR ELECTRONICO Y,REGULADOR PARA BOMBA DE AGUA
PRI,PRIMER IMPRIMANTE PARA SELLADO,Y ADHESIVO QUIMICO
PSA,PINTURA EN SPRAY PARA ALTAS,TEMPERATURAS
PSE,PINTURA EN SPRAY ACRILICA PARA,INTERIORES Y EXTERIORES
PSF,PLASTICO STRETCH O FILM," "
PSI,PISTOLA PARA APLICAR CARTUCHOS,O SALCHICHAS DE SILICON
PSL,PANEL SOLAR," "
PTA,PUENTE POLIPROPILENO PRESION," "
PTB,PUENTE PVC ELECTRICO," "
PTC,PUENTE DE COBRE PARA PRESION," "
PTD,PLANCHA CORRUGADA PARA LOSA,COLABORANTE O ESTRUCTURA
PTE,PUENTE TERMOFUSION PRESION," "
PTF,PLANCHA PARA TUMBADO FALSO O,CIELO RASO
PTG,PUERTA DE GARAJE PREFABRICADA,CON HERRAJES
PTL,PORTALAMPARA," "
PTO,PLANCHA DE TECHO O CUBIERTA,ONDULADA Y TRAPEZOIDAL
PTR,PINTURA PARA TRAFICO," "
PTS,PINZA PARA PUESTA A TIERRA,PARA SOLDADORA
PTT,PERNO TUERCA PARA ADAPTADOR,PARA TANQUE
PTV,PORTA VASO O COASTER," "
PUA,"PUNTA PARA TALADRO DE HEX 1/4""","A ADAPTADOR 1/4"" HEMBRA"
PUB,"PUNTA PARA TALADRO DE HEX 1/4""",A PHILLIPS O POZIDRIVE
PUC,"PUNTA PARA TALADRO DE HEX 1/4""",A PLANO
PUD,"PUNTA PARA TALADRO DE HEX 1/4""",A SQUARE
PUE,"PUNTA PARA TALADRO DE HEX 1/4""",A TORX
PUF,"PUNTA PARA TALADRO HEX 1/4""",CON PUNTA DOBLE LADO
PUG,"PUNTA PARA TALADRO HEX 1/4""",A DADO RATCHET
PUH,"PUNTA PARA TALADRO DE HEX 1/4""",A LLAVE TUERCA HEXAGONAL
PUL,PULIDORA," "
PVA,COLA BLANCA O ADHESIVO A BASE,DE AGUA PVA
PVL,PARANTE VIAL," "
PWA,PLANCHAS DE PIEDRA SINTETICA,120X2400
PWB,PLANCHAS DE PIEDRA SINTETICA,160X320
PWC,PROBADOR DE CALIDAD DE AGUA," "
PWK,POWERBANK O BATERIAS EXTERNAS," "
PXA,CORREA G METALICA ESTRUCTURAL," "
PXB,CANAL U METALICO ESTRUCTURAL," "
PXL,OMEGAS Ω METALICO ESTRUCTURAL," "
PXT,PERFIL T METALICO ESTRUCTURAL," "
PYA,PORCELANATO 60X60," "
PYB,PORCELANATO 50X50," "
PYC,PORCELANATO 90X120," "
PYD,PORCELANATO 120X240," "
PYE,PORCELANATO 60X120," "
PYF,PORCELANATO RUSTICO," "
PYG,PORCELANATO MADERADO," "
PYH,PORCELANATO 90X180," "
PZC,PESCADOR PARA CABLE," "
QGA,PROTECTORES PARA TAPICERIA E,INTERIORES
QLP,QUIMICOS PARA CLAREAR Y,MANTENER EL AGUA DE PISCINA
RAA,RASTRILLO TIPO ABANICO," "
RAB,RASTRILLO RECTO," "
RAD,RADIOS O WALKIE TALKIES," "
RAI,RATCHET INALAMBRICA O,PNEUMATICA
RAS,RASPADOR CON CUCHILLA," "
RAT,RATCHET MANUAL," "
RBA,EJE PARA IMPELER DE BOMBA," "
RBB,MOUNTING RING," "
RBC,PATA O BASE DE BOMBA," "
RBD,SUCTION FLANGE ASSEMBLY," "
RBE,INTERMEDIATE STAGE ASSY," "
RBF,RESORTE CON SELLO MECANICO," "
RCC,RECUBRIMIENTO AISLANTE TERMICO,PARA TUBERIA DE COBRE
RCI,CUCHILLA REPUESTO CORTACABLE," "
RCJ,RIEL PARA CAJON," "
RCL,REPUESTO PARA CALEFON O,CALENTADOR DE AGUA
RCR,RACOR O TEE DE DERIVACION PARA,TANQUE DE PRESION
RDA,REDUCTOR POLIPROPILENO PRESION," "
RDB,RADIOBALIZA O EPIRB," "
RDC,REDUCTOR PVC PRESION," "
RDD,REDUCTOR PVC DESAGUE," "
RDE,ROLLO DE ETIQUETAS ADHESIVAS," "
RDF,RECOLECTOR DE FRUTAS," "
RDG,REDUCTOR HD/HF/HN PRESION," "
RDH,REDUCTOR DE COBRE PARA PRESION," "
RDI,RIEL DIN," "
RDJ,REDUCTOR PEAD ACOPLE RAPIDO," "
RDK,REDUCTOR PVC PARA TUBERIA,CORRUGADA Y ALCANTARILLADO
RDL,REDUCTOR TERMOFUSION PRESION," "
RDT,TARRAJA O ROSCADORA DE TUBOS,INALAMBRICA
RDU,TARRAJA O ROSCADORA DE TUBOS,MANUAL
REB,REBAJADORA O TUPI," "
REC,RECTIFICADORA O ESMERILADORA,RECTA
REF,REFRIGERADORA PORTATIL," "
REG,RECOGEDOR MAGNETICO," "
REH,REFLECTOR HALOGENO," "
REI,RECTIFICADORA O ESMERILADORA,RECTA INALAMBRICA
REJ,REJILLAS PARA ASADORES," "
REL,REFLECTOR LED," "
REM,REMACHADORA," "
REP,REPOSTEROS PARA ALIMENTOS," "
RES,REFLECTOR LED CON SENSOR,INTEGRADO
REZ,REFLECTOR LED SOLAR CON SENSOR," "
RFR,REFRIGERANTE PARA MOTOR," "
RGL,REGLA METALICA," "
RGM,RACK O GABINETE METALICO PARA,REDES Y TELECOMUNICACIONES
RGT,REGLETA CON CABLE SOBREPUESTA," "
RIR,PANEL O PLANCHA RANURADO,PARA PARED
RJA,TAPA PARA REJILLA O DESAGUE," "
RJD,REJILLA O PARRILA DENTADA,METALICA
RJL,REJILLA O PARRILLA LISA,METALICA
RJP,REJILLA PARA DRENAJE O DESAGUE,LINEAL
RJR,REJILLA PARA DRENAJE O DESAGUE,CIRCULAR
RJS,CAJA DE DESAGUE SIFONADA CON,REJILLA PARA DRENAJE O DESAGUE
RLA,RULIMAN DE RODILLO," "
RLB,RULIMAN DE BOLA O ESFERA," "
RLC,RULIMAN AGRICOLA," "
RMA,RIEL O PERFIL DE MONTAJE DE,ALUMINIO PARA PANELES SOLARES
RMC,REMACHE," "
ROF,PURIFICADOR DE ULTRAFILTRACION,(SISTEMA DE FILTRADO CON UF)
ROH,PURIFICADOR DE OSMOSIS INVERSA,CON GENERADOR DE HIDROGENO
ROI,ROTOMARTILLO INALAMBRICO," "
ROM,PURIFICADOR DE OSMOSIS INVERSA,(SISTEMA DE FILTRADO CON RO)
ROS,ROSETA PARA MEZCLADORA O LLAVE,DE DUCHA
ROT,ROTOMARTILLO," "
RPA,"PUNTAS, TOBERAS Y DIFUSORES",PARA ANTORCHAS MIG
RPC,REPUESTO PARA CALEFON," "
RPE,REPUESTOS PARA ENGRASADORA," "
RPF,HERRAMIENTAS PARA RECOLECCION,DE FRUTA
RPL,CERNIDERA O RED PARA LIMPIEZA,DE SUPERFICIE DE PISCINA
RPM,REPUESTO PARA MASCARILLAS," "
RPN,RAMPA NIVELADORA PARA MUELLE,DE CARGA
RPP,RODILLO CON MANGO PARA PINTAR," "
RPR,REPUESTO PARA RODILLO PARA,PINTAR
RPS,REPISAS," "
RPT,ROLLO DE PAPEL TERMICO," "
RRC,REPUESTO PARA REPARACION DE,CONTROL DE VOLUMEN DE AIRE
RRM,REDUCTOR PARA RIEGO MOVIL," "
RSC,REPUESTO PARA SIERRA CADENA O,MOTOSIERRA
RSL,RESALTADOR O ROTULADOR," "
RST,RESISTENCIA PARA DUCHA,ELECTRICA
RUA,RUEDA O RODILLO SOLO PARA,COCHES Y CARRETILLAS
RUB,RUEDA CON PLATADORMA FIJA PARA,COCHES Y CARRETILLAS
RUC,RUEDA CON PLATADORMA GIRATORIA,PARA COCHES Y CARRETILLAS
RUD,RUEDAS O GARRUCHAS LIVIANAS,PARA SILLAS Y MUEBLES
RUE,RUEDAS PARA PUERTAS Y VENTANAS," "
RVF,REFRIGERADOR VITRINA FROST," "
RVN,REFRIGERADOR VITRINA NO FROST," "
SAA,SILLA APLILABLE," "
SAP,SOPORTE GANCHO ANGULO PARA,TECHO PARA FIJAR PANEL SOLAR
SAR,SARTEN," "
SBA,SPRINKLER COBERTURA STANDARD,RESPUESTA STANDARD PARA INCEND
SBB,SPRINKLER COBERTURA STANDARD,RESUESTA RAPIDA PARA INCENDIO
SBC,SPRINKLER COBERTURA EXTENDIDA," "
SBD,SPRINKLER PARA BODEGA Y ALTA,DENSIDAD PARA INCENDIO
SBE,SPRINKLER RESIDENCIAL CONTRA,INCENDIOS
SBF,SPRINKLE PARA SISTEMAS EN SECO,CONTRA INCENDIOS
SBL,SOPORTE PARA BARRAL," "
SBS,SOPORTE PARA BASE SOCKET,ROSCABLE
SCA,LECTOR DE CODIGOS DE BARRA," "
SCE,SOPORTE PARA CELULAR," "
SCG,SIERRA CORTA GYPSUM," "
SCH,SIERRA CORTADORA DE HORMIGON," "
SCI,SIERRA DE CINTA INALAMBRICA," "
SDA,SENSOR DE APERTURA," "
SDC,SERPIENTE O CINTA DESTAPA CAÑO," "
SEL,SELLADOR DE JUNTAS QUIMICO,POLIURETANO
SEM,SERRUCHO DE LOMO," "
SEN,SENSOR INFRAROJO PARA MOTOR DE,GARAJE
SEP,SERRUCHO O CUCHILLO DE MANO,PARA PODAR
SER,SERRUCHO," "
SES,SILICON EN SPRAY," "
SEX,SOPORTE DE PARED PARA EXTINTOR," "
SEY,SELLADOR DE JUNTAS QUIMICO,ACRILICOS Y NO POLIURETANOS
SF2,JUEGO DE DESAGUE DE FREGADERO,CON SIFON DOBLE
SFA,DESAGUE SIFON TIPO ACORDEON," "
SFB,SIFON DE COBRE," "
SFN,JUEGO DE DESAGUE DE FREGADERO,CON SIFON SIMPLE
SFT,SIFON O TRAMPA U PARA TUBERIA,DE DESAGUE
SGA,ANTENA SENSOR RIFD ANTIHURTO,PARA ENTRADA DE TIENDAS
SGB,LOCK MAGNETICO PARA GANCHO DE,COLGAR BLISTERS EN TIENDAS
SGC,SENSOR RFID PARA ANTENA TIPO,ARAÑA
SGD,SENSOR RFID PARA ANTENA TIPO,PIN
SGE,SENSOR RFID PARA ANTENA TIPO,STICKER
SGF,SENSOR RFID PARA ANTENA TIPO,LANYARD O CON CABLE METALICO
SGG,SENSOR CON CABLE RETRACTIL Y,ALARMA PARA EXHIBIDORES
SGH,DESACTIVADOR MAGNETICO SOBRE,ESCRITORIO
SGI,DESACTIVADOR MAGNETICO MOVIL,PARA STOP LOCKS
SGP,SEGURO PARA PUERTA," "
SIA,SIERRA CIRCULAR," "
SIB,SIERRA DE BANCO," "
SIC,SIERRA DE BRAZO RADIAL," "
SID,SIERRA CALADORA," "
SIE,SIERRA CALADORA DE DETALLE," "
SIF,SIERRA RECIPROCA," "
SIG,SIERRA DE BANCO ELECTRICA PARA,"LOZA, CERAMICA Y PORCELANATO"
SIH,SIERRA INGLETEADORA/TRONZADORA," "
SII,SIERRA CIRCULAR CORTA LOZA,ELECTRICA
SIJ,SIERRA CIRCULAR INALAMBRICA," "
SIK,SIERRA CADENA INALAMBRICA," "
SIL,SILICON ACÉTICO EN CARTUCHO," "
SIM,SILICON NO ACETICO EN CARTUCHO," "
SIN,SIERRA CADENA O MOTOSIERRA A,COMBUSTION O GASOLINA
SIO,SIERRA OSCILANTE," "
SIP,SIERRA COPA," "
SIQ,SIERRA DE BANCO INALAMBRICA," "
SIR,SIERRA CIRCULAR CORTA LOZA,INALAMBRICA DE BANCO
SIS,SIERRA CIRCULAR A COMBUSTION,PARA CORTAR ASFALTO
SIT,SIERRA DE DETALLE," "
SIW,SIERRA CANALIZADORA O WALL,CHASER
SIY,SIERRA RECIPROCA INALAMBRICA," "
SIZ,SIERRA INGLETEADORA/TRONZADORA,INALAMBRICA
SK2,SK2," "
SKM,SKIMMER DE PISCINA," "
SLA,SOLDADURA TIPO ELECTRODO TIG,(ARCO)
SLB,SOLDADURA TIPO ALAMBRE MIG,(ARCO)
SLL,SOLDADURA LIQUIDA AL FRIO," "
SLP,SOLDADURA FUERTE SILER BLAZING," "
SLT,SILLA TEE PARA ALCANTARILLADO," "
SLY,SILLA Y PARA ALCANTARILLADO," "
SMB,SELLO MECANICO PARA BOMBA DE,AGUA
SMJ,SOPORTE PARA MANGUERA DE,JARDIN
SNA,SENSOR INFRAROJO O ULTRASONICO,EMPOTRABLE DE PARED
SNB,SENSOR INFRAROJO O ULTRASONICO,EMPOTRABLE DE TECHO
SNC,SENSOR INFRAROJO O ULTRASONICO,SOBREPUESTO (CON BRAZO)
SNF,SENSOR DE FUGAS DE AGUA SMART,O INTELIGENTE
SOA,SOPLADORA ELECTRICA (120V)," "
SOB,ASPIRADORA ELECTRICA (120V)," "
SOC,ASPIRADORA PARA CARRO (12V)," "
SOD,ASPIRADORA PORTATIL A BATERIA," "
SOE,ASPIRADORA ROBOT O AUTONOMA," "
SOF,ESCOBA O BARREDORA A BATERIA," "
SOG,ASPIRADORA PARA LIMPIEZA DE,PISCINA
SOI,SOPLADORA INALAMBRICA," "
SOL,SOLDADORA ELECTRICA," "
SOP,SOPLETE ANTORCHA PARA CILINDRO,DE GAS
SPA,SOPORTE PARA CANAL DE AGUAS,LLUVIAS
SPB,"SOPORTE PARA TUBO CUADRADO,",CANAL O BAJANTE
SPC,SOPORTE PARA INSTALACION DE,ACCESORIOS EN CANALETAS ELECTR
SPF,SELLADORA PARA FUNDAS," "
SPL,SOPORTE TIPO PIE DE AMIGO PARA,LAVARROPA
SPM,SUJETADOR DE MASCARILLA PARA,NUCA
SPP,SOPORTES PARA PANEL RANURADO," "
SPT,SPLITTER O DERIVACION PARA,CABLE COAXIAL
SQA,SOLDADURA O PEGA QUIMICA PARA,PVC
SRD,SISTEMA DE RIEL Y DESCONEXION,DE BOMBA SUMERGIBLE
SSI,SIERRA CALADORA INALAMBRICA," "
SSM,SIERRA O SEGUETA PARA SIERRA,DE ARCO
SSN,ALAMBRE DE ESTAÑO PARA SOLDAR," "
SSR,SIERRA O SEGUETA PARA SIERRA,DE BANDA
STA,SOPLADOR ASPIRADOR TRITURADOR,PARA JARDIN
STD,SOPORTE DE PARED DE TELEVISOR," "
STE,SEPARADOR INTERIOR PARA,TUBERIA ELECTRICA
STP,SOPORTE DE PISO PARA TELEVISOR," "
STR,ESTRIBOS," "
SVA,SEPARADOR VIAL," "
SVE,SOMBRERO DE VENTILACION O,DESAGUE
SVL,SERVILLETERO," "
SVP,SISTEMA COMPLETO DE INTERCOM,POR VOZ O VIDEO
SVT,SACA VALVULA DE TUBO O,NEUMATICO DE CARRO
SYP,CONTENEDORES PARA SAL Y,PIMIENTA
T1A,TABLET," "
T1B,TABLET INDUSTRIAL CON LECTOR,DE CODIGOS DE BARRA
TAA,TAPON POLIPROPILENO PRESION," "
TAB,TAPON PVC PRESION," "
TAC,TAPON PVC DESAGUE," "
TAD,TALADRO DE PEDESTAL," "
TAE,TAPON DE COBRE," "
TAF,TAPON PEAD ACOPLE RAPIDO," "
TAG,TUERCA O CONTRATUERCA PARA,GRIFERIAS Y DUCHAS
TAI,TALADRO PERCUTOR INALAMBRICO," "
TAL,TAPON PARA TUBO CORRUGADO Y,ALCANTARILLADO
TAM,TALADRO CON BASE MAGNETICA," "
TAP,TALADRO PERCUTOR," "
TAR,TALADRO DE ROTACION," "
TAT,TAPON TERMOFUSION PRESION," "
TAV,TRAPEADOR O MOPA A VAPOR," "
TAZ,TAZON O BOWL PARA HORNEAR Y,SERVIR
TB1,TOMACORRIENTE 1 SERVICIO PARA,"CAJA EMPOTRADA NEMA 1,2 Y 5"
TB2,TOMACORRIENTE 2 SERVICIOS PARA,"CAJA EMPOTRADA NEMA 1,2 Y 5"
TB3,TOMACORRIENTE 3 SERVICIOS,"CAJA EMPOTRADA NEMA 1,2 Y 5"
TBA,TACHO DE BASURA INDUSTRIAL CON,RUEDAS PARA ACOPIO
TBB,TACHO DE BASURA PARA BAÑOS Y,OFICINAS
TBR,BOTELLA DE TIZA PARA TIRALINEA," "
TC1,TOMACORRIENTE 1 SERVICIO,"CAJA SOBREPUESTA NEMA 1,2 Y 5"
TC2,TOMACORRIENTE 2 SERVICIOS,"CAJA SOBREPUESTA NEMA 1,2 Y 5"
TC3,TOMACORRIENTE 3 SERVICIOS,"CAJA SOBREPUESTA NEMA 1,2 Y 5"
TCE,TUERCA PARA CONECTOR ELECTRICO,EMT
TCF,TACO FISHER," "
TCH,TACHUELA," "
TCL,TECLE O GRUA," "
TCO,TACO USB PARA ACABADOS,ELECTRICOS ARMABLES
TCP,TACO CIEGO PASA HILO," "
TDA,TUBO DE ABASTO O MANGUERA,FLEXIBLE PARA LAVABO O INODORO
TDB,TUBO DE ABASTO O MANGUERA,FLEXIBLE PARA BOMBAS
TDG,TRAMPA DE GRASA O SEPARADOR,DE AGUA Y ACEITE
TDP,TABLA DE PICAR," "
TE1,TOMACORRIENTE 1 SERVICIO CHINO,CAJA EMPOTRADA NEMA 6
TE2,TOMACORRIENTE 2 SERVICIO CHINO,CAJA EMPOTRADA NEMA 6
TE3,TOMACORRIENTE 2 SERVICIO 2P+T,CAJA EMPROTRADA NEMA 6
TEA,TERMOENCOGIBLE PARA CABLE," "
TEC,TENAZA DE CARPINTERO," "
TEI,TERMOMETRO INFRAROJO," "
TEM,TEMPLADOR PARA CABLE," "
TEN,TENAZA DE ARMADOR," "
TEP,TOMACORRIENTE EMPOTRABLE PARA,CAJA DE PISO
TER,TERMOFUSORA," "
TET,TETERA," "
TEX,TARJETAS ELECTRONICAS DE,EXPANSION
TFC,TUBO FLUORESCENTE CIRCULAR," "
TFK,TAPA FINAL PARA CANALETA,ELECTRICA
TFL,TEFLON," "
TIA,TIJERA DE AVIACION," "
TIB,TIJERA PARA PELO O PAPEL," "
TIC,TIJERA CORTA TUBO," "
TID,TIJERA PARA COCINA," "
TIE,TIJERA DE ELECTRICISTA," "
TIH,TIJERA DE HOJALATERO," "
TIJ,TIJERA PARA PODAR," "
TIN,INTERRUPTOR TIPO TACO," "
TIR,TIRALINEA CON BOTELLA DE TIZA," "
TJT,TARJETERO," "
