Código,Descripción,Descripción 2
BNB,BORNES PARA BATERIA," "
BNC,BORNERA PARA CABLE," "
BOA,BOMBA PARA AGUA POTABLE TIPO,JET O DE CHORRO
BOB,BOMBA PARA AGUA POTABLE TIPO,CENTRIFUGA PARA CAUDAL
BOC,BOMBA PARA AGUA POTABLE TIPO,CENTRIFUGA PARA PRESION
BOD,BOMBA PARA AGUA POTABLE TIPO,BOOSTER O AUMENTA PRESION
BOE,BOMBAS PARA AGUA SUMERGIBLE,TIPO LAPIZ CON MOTOR
BOF,BOMBAS PARA AGUA SUMERGIBLE,DE DESAGUE PARA ACHIQUE
BOG,BOMBAS PARA AGUA SUMERGIBLE,DE DESAGUE PARA AGUAS NEGRAS
BOH,BOMBAS PARA AGUA A GASOLINA," "
BOI,BOMBAS PARA RECIRCULACION PARA,PISCINAS Y FUENTES
BOJ,BOMBAS PARA AGUA TODO EN UNO," "
BOK,SISTEMAS DE BOMBAS PREARMADOS,PARA AGUA POTABLE
BOL,BOMBA SUMERGIBLE SIN MOTOR," "
BOM,BOMBA MANUAL DE PISTON PARA,TRASVASE DE LIQUIDOS
BON,BOMBA PARA ACHIQUE TIPO,CENTRIFUGA PARA CAUDAL
BOO,BOMBA PARA AGUAS NEGRAS TIPO,CENTRIFUGA PARA CAUDAL
BOP,BOMBA PARA AGUA POTABLE TIPO,PERIFERICA
BOQ,BOMBA MANUAL PARA PRUEBAS,HIDROSTATICAS
BOR,BOMBA PORTATIL A BATERIA PARA,DISPENSAR AGUA DE BOTELLON
BOS,SISTEMAS DE BOMBAS PREARMADOS,CONTRA INCENDIOS
BOT,BOTONERA NUMERICA PARA CONTROL,DE ACCESO
BOU,BOMBA PARA AGUA CENTRIFUGA,DE EJE LIBRE
BOX,BOMBA PARA AGUA SUMERGIBLE,TRITURADORA AGUAS NEGRAS
BPA,PILAS O BATERIAS ALCALINAS," "
BPB,PILAS O BATERIAS DE CARBON," "
BPC,BATERIA 20V LI-ION," "
BPD,BATERIA 18V NI-CAD," "
BPE,BATERIA 12V NI-CAD O LI-ION," "
BPF,BATERIA 60V LI-ION," "
BPG,PILAS RECARGABLES," "
BPH,PILAS DE RELOJ," "
BPI,PILAS AUDITIVAS," "
BPJ,BATERIA PARA TABLET," "
BPK,BATERIA DE LITIO FOSFATO (LFP),PARA SISTEMAS SOLARES
BPL,BANDEJA PORTA CABLE," "
BPM,BATERIA DE PLOMO-CALCIO PB-CA,PARA VEHICULOS
BPT,BOLSO PORTA TALADRO," "
BQL,BOQUILLA PARA TERMOFUSORA," "
BQP,BOQUILLAS Y ABSORVENTES PARA,PISCINA
BRA,BROCA PARA MADERA Y METAL," "
BRB,BROCA PARA CONCRETO O CEMENTO,PARA TALADRO O DESTORNILLADOR
BRC,JUEGO DE BROCAS," "
BRD,BROCA TUBULAR O NUCLEO HUECO," "
BRE,BREA," "
BRF,BROCA AVELLANADORA," "
BRG,BROCA MULTIMATERIAL," "
BRH,BROCA ESCALONADA," "
BRI,BROCA PARA CONCRETO O CEMENTO,PARA ROTOMARTILLO O DEMOLEDOR
BRJ,BROCA ANULAR," "
BRK,BROCA DE DOBLE LADO," "
BRL,BROCA TARRAJA O MACHUELO," "
BRM,BROCA TIPO BARRENA (AUGER)," "
BRN,BROCA FORSTNER," "
BRO,BROCHA PARA PINTAR," "
BRR,BARRETA," "
BRU,BRUJULA," "
BRV,BROCA TIPO LANZA PARA VIDRIO," "
BSA,BISEL PARA CAJA EMT," "
BSC,BROCA GUIA PARA SIERRA COPA O,BROCA TUBULAR
BSF,BASE PARA FOTOCELULA," "
BSI,BARRA DE SILICON," "
BSM,BASE SOCKET PARA MEDIDOR,ELECTRICO
BTC,BOLSO TIPO CARTERA," "
BTE,BROCA TIPO ESPADA O PALETA," "
BTI,BIDET PARA ADAPTAR A ASIENTO,DE INODORO
BTL,BIDET DE LOZA PARA BAÑO," "
BTM,BOLSO TIPO MOCHILA," "
BTP,BIDET PORTATIL PARA BOTELLA," "
BTR,BARRA PARA PUESTA A TIERRA," "
BUA,BUSHING POLIPROPILENO PRESION," "
BUB,BUSHING PEAD PRESION," "
BUC,BUSHING PVC PRESION," "
BUD,BUSHING PVC DESAGUE," "
BUE,BUSHING COBRE/BRONCE PRESION," "
BUF,BUFF," "
BUG,BUSHING POLIETILENO FLEX," "
BUH,BUSHING ACERO INOX/HIERRO GALV,PRESION
BUI,BUSHING PARA CANALETA,ELECTRICA
BUJ,BUSHING EMT ELECTRICO," "
BUK,BUSHING PVC ELECTRICO," "
BUL,BUSHING HD/HF/HN PRESION," "
BUM,BUSHING DE CAUCHO PARA,SANITARIO
BUN,BUSHING REDUCTOR IMC," "
BVC,BRAZO VOLADO DE CANAL U," "
BWA,BRIDA FIJA CON CUELLO," "
BWB,BRIDA MOVIL SIN CUELLO," "
BWC,BRIDA CIEGA," "
BWD,BRIDA FIJA SIN CUELLO (SLIPON)," "
BXL,BARRAL PARA DUCHA MANUAL," "
BYA,BOYA DE REPUESTO PARA VALVULA,DE FLOTADOR
BZA,BALANZA INDUSTRIAL PLATAFORMA,PARA PISO
BZB,BALANZA INDUSTRIAL COLGANTE," "
BZC,BALANZA DE COCINA," "
BZD,BALANZA PARA PESO CORPORAL," "
C1A,COCINA CON HORNO ELECTRICA," "
C1B,COCINA CON HORNO A GAS," "
C1C,COCINA ENCIMERA A GAS," "
C1D,COCINA ENCIMERA ELECTRICA," "
CAA,CABLE DE ACERO," "
CAB,CABLE PARA BATERIA LAGARTO," "
CAC,CLAVO PARA CONCRETO CON,CABEZA PLANA
CAD,CADENA METALICA," "
CAE,CAJA NO METALICA PARA EMPOTRAR,PARA CONDUIT Y EMT
CAG,CALENTADOR O CALEFON DE AGUA,A GAS
CAI,CAJA INGLETE," "
CAJ,CAJA PARA HERRAMIENTAS," "
CAL,CALIBRADOR," "
CAM,CAMARA DE FOTOS DIGITAL," "
CAN,CANASTA PARA PAN O FRUTAS," "
CAO,CAJA APILABLE PARA ALMACENAR," "
CAP,CAPAS O FORROS PROTECTORES," "
CAR,CARTERAS Y BOLSAS," "
CAS,CASCO DE SEGURIDAD," "
CAT,CINTA AISLANTE," "
CAU,CAUTIN O SOLDADOR TIPO PLUMA," "
CAW,CAMARA WIFI," "
CAX,CAJA ELECTRICA DE PISO CON,TOMACORRIENTES
CAZ,CAJA ELECTRICA DE PISO ARMABLE," "
CBA,CABLE DE COBRE DESNUDO," "
CBB,CABLE DE COBRE SOLIDO CON,COBERTURA HASTA 0.6KV
CBC,CABLE DE COBRE FLEXIBLE CON,COBERTURA HASTA 0.6KV
CBD,CABLE DE COBRE SOLIDO CON,COBERTURA HASTA 1KV
CBE,CABLE DE COBRE FLEXIBLE CON,COBERTURA HASTA 1KV
CBF,CABLE DE COBRE FLEXIBLE CON,COBERTURA HASTA 2KV
CBG,CABLE DE COBRE FLEXIBLE CON,COBERTURA HASTA 0.3KV
CBH,CABLE DE COBRE MULTIPLEX CON,NEUTRO DESNUDO
CBI,CABLE DE ALUMINIO DESNUDO," "
CBJ,CABLE DE ALUMINIO FLEXIBLE CON,COBERTURA HASTA 0.6KV
CBK,CABLE DE ALUMINIO FLEXIBLE CON,COBERTURA HASTA 1KV
CBL,CABLE DE ALUMINIO FLEXIBLE CON,COBERTURA HASTA 2KV
CBM,CABLE DE ALUMINIO MULTIPLEX,CON NEUTRO DESNUDO
CBO,CABO O PIOLA," "
CBP,COBERTOR PARA PISCINA," "
CC,CAJA DE DERIVACION CONDULETA," "
CCB,CEPILLO CANTEADOR DE BANCO," "
CCC,CORTACABLE TIPO CIZALLA MANUAL," "
CCE,CILINDRO PARA CERRADURA DE,EMBUTIR
CCG,COMPAS CORTADOR DE CIRCULOS,PARA GYPSUM
CCH,CUCHILLO DE COCINA," "
CCI,CORTACABLE INALAMBRICO," "
CCL,CONECTOR PARA MANGUERA O CINTA,LED
CCM,CANCAMO CURVO CERRADO," "
CCN,CODO CONECTOR EMT TUBO EMT A,CAJA CON TORNILLO DE AJUSTE
CCP,CLAVO LISO MULTIUSO PARA,MADERA CON CABEZA PLANA
CCT,CODO CORTO EMT O ACOPLAMIENTO,ESQUINERO CON TAPA
CD1,CODO PARA BAJANTE DE AGUA,LLUVIA
CD2,CODO PARA CONEXION DE BAJANTE,A TUBERIA DE DESAGUE
CD3,CODO PARA ALCANTARILLADO,PARA TUBERIA CORRUGADA
CD4,CODO TERMOFUSION PRESION," "
CDA,CODO POLIPROPILENO PRESION," "
CDB,CODO PEAD PRESION," "
CDC,CODO PVC PRESION," "
CDD,CODO PVC DESAGUE," "
CDE,CODO COBRE PRESION," "
CDF,CODO POLIETILENO FLEX," "
CDG,CODO ACERO INOX/HIERRO GALV/,BRONCE PARA PRESION
CDH,CODO O ANGULO PARA CANALETA,ELECTRICA
CDI,CODO EMT ELECTRICO," "
CDJ,CODO PVC ELECTRICO," "
CDK,CODO HD/HF/HN PRESION," "
CDL,CODO PARA HIDRANTE," "
CDM,CERRADURA TIPO MANIJA," "
CDN,CODO REVERSIBLE ELECTRICO," "
CDO,CERRADURA TIPO POMO," "
CDP,CARGADOR DE PILAS Y BATERIAS," "
CDQ,CODO O CURVA PARA RIEGO MOVIL," "
CDR,CONTADOR DE REVOLUCIONES," "
CDS,CORTADORA O PODADORA DE SETOS,O ARBUSTOS
CDT,CODO PARA CONEXION DE CANAL A,BAJANTE DE AGUA LLUVIA
CDU,CODO O CURVA LARGO RADIO DE,COBRE
CDV,CODO EMT A CAJA ELECTRICA," "
CDW,CODO EMT CON INSPECCION O CODO,TRACCION
CDX,CODO ELECTRICO ROSCABLE,IMC/RMC
CDY,CODO IMC CON INSPECCION," "
CDZ,CODO O CURVA PARA CANAL O,BANDEJA ELECTRICA
CEA,CEMENTO PORTLAND TIPO GU," "
CEB,CEMENTO PORTLAND TIPO IP," "
CEC,CEPILLO TIPO COPA DE ALAMBRE," "
CED,CEPILLO TIPO DISCO DE ALAMBRE," "
CEE,CEPILLO BAILEY ELECTRICO," "
CEL,CUCHILLO ELECTRICO," "
CEM,CEPILLO DE ALAMBRE MANUAL," "
CEP,CEPILLO BAILEY DE CARPINTERO," "
CEQ,CINTA DE EMPAQUE," "
CET,CERRADURA ELECTRONICA O SMART," "
CEX,CEMENTO Y HORMIGON EN MIXER," "
CFC,CLIP LUG TERMINAL PUESTA A,TIERRA PARA PANELES SOLARES
CFL,CINTURON O FAJA LUMBAR," "
CFP,CALENTADOR O CALEFON DE AGUA,ELECTRICO DE PASO
CFS,CALENTADOR O CALEFON DE AGUA,SOLAR DE TANQUE
CFT,CALENTADOR O CALEFON DE AGUA,ELECTRICO DE TANQUE
CFZ,CINTA DOBLE FAZ," "
CGD,CUBREAGUJERO O TAPAHUECO PARA,DESAGUE
CGH,CONGELADOR HORIZONTAL," "
CGR,BOLSO TIPO CANGURO," "
CHA,CHUMACERA DE PISO," "
CHB,CHUMACERA DE PARED," "
CHC,CHUMACERA TIPO BRIDA," "
CHL,CLAVO HELICOIDAL PARA MADERA,CON CABEZA PLANA
CHP,CHAMPEADORA," "
CHR,CHALECO REFLECTIVO," "
CIA,CINTA ANTIDESLIZANTE," "
CIB,CINCEL DE CARPINTERO," "
CIE,CIZALLA ELECTRICA," "
CIL,CINTA DE SEÑALIZACION," "
CIM,CINCEL PLANO O CORTAFRIO PARA,CONCRETO
CIN,CINCEL DE PUNTA PARA CONCRETO," "
CIO,CONECTOR PARA INODORO," "
CIR,"CINCEL DE PUNTA PARA TALADROS,",ROTOMARTILLOS Y DEMOLEDORES
CIS,"CINCEL ESPATULA PARA TALADROS,",ROTOMARTILLOS Y DEMOLEDORES
CIT,CINTA METRICA," "
CIZ,CIZALLA," "
CJA,CAJA METALICA PARA EMPOTRAR,PARA CONDUIT Y EMT
CJB,CAJA ARRANCADOR PARA MOTOR,DE BOMBA
CJC,CAJA NO METALICA SOBREPUESTA,"PARA CONDUIT, EMT Y CANALETAS"
CJD,"CAJA DE PASO, DERIVACION O",EMPALME PLASTICA
CJE,CAJA METALICA SOBREPUESTA,PARA CONDUIT Y EMT
CJF,CAJA EMPOTRABLE PARA MUEBLES,Y ESCRITORIOS
CJL,CAJA PARA MEDIDOR ELECTRICO O,BASE SOCKET
CJM,"CAJA DE PASO, DERIVACION O",EMPALME METALICA
CJT,CAJA SOBREPUESTA PARA CONEXION,RJ45 VOZ RED Y DATOS
CJX,CAJA DE PISO PARA CONEXION DE,TUBERIAS Y VALVULAS
CKC,CUCHILO CORTA CABLE," "
CLA,CLAVADORA INALAMBRICA," "
CLB,COLGADOR PARA CAJA ENTRE VIGAS," "
